#i crate slot top/bottom dcc spigot fiber fiber-channel  subdet  ieta  iphi  depth

42075C 50 12 u 0 0  0 0 HF  1 11 1
42075C 50 12 u 0 0  0 1 HF  2 11 1
42075C 50 12 u 0 0  0 2 HF  3 11 1
42075C 50 12 u 0 0  0 3 HF  4 11 1
42075C 50 12 u 0 0  1 0 HF  5 11 1
42075C 50 12 u 0 0  1 1 HF  6 11 1
42075C 50 12 u 0 0  1 2 HF  7 11 1
42075C 50 12 u 0 0  1 3 HF  8 11 1
42075C 50 12 u 0 0  2 0 HF  9 11 1
42075C 50 12 u 0 0  2 1 HF 10 11 1
42075C 50 12 u 0 0  2 2 HF 11 11 1
42075C 50 12 u 0 0  2 3 HF 12 11 1
42075C 50 12 u 0 0  3 0 HF 13 11 1
42075C 50 12 u 0 0  3 1 HF 14 11 1
42075C 50 12 u 0 0  3 2 HF 15 11 1
42075C 50 12 u 0 0  3 3 HF 16 11 1
42075C 50 12 u 0 0  4 0 HF 17 11 1
42075C 50 12 u 0 0  4 1 HF 18 11 1
42075C 50 12 u 0 0  4 2 HF 19 11 1
42075C 50 12 u 0 0  4 3 HF 20 11 1
42075C 50 12 u 0 0  5 0 HF 21 11 1
42075C 50 12 u 0 0  5 1 HF 22 11 1
42075C 50 12 u 0 0  5 2 HF 23 11 1
42075C 50 12 u 0 0  5 3 HF 24 11 1
